Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age05_09,[5-9],106.0,4.54155955,,0.51003126
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age10_14,[10-14],169.0,5.89672017,,0.81284644
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age15_19,[15-19],393.0,3.90113163,,1.77921652
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age20_24,[20-24],856.0,4.47979904,,3.81357244
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age25_29,[25-29],1525.0,7.26467226,,7.10278678
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age30_34,[30-34],2663.0,11.28437646,,13.10037138
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age35_39,[35-39],4638.0,16.94432267,,23.28833149
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age40_44,[40-44],8703.0,20.82555635,,42.53477131
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age_unknown,[Unknown],44.0,29.93197279,,
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age55_59,[55-59],38975.0,26.1615809,,189.57231173
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age60_64,[60-64],49564.0,27.43982107,,280.09922262
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age65_69,[65-69],56277.0,27.38673415,,414.56909404
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age70_74,[70-74],63774.0,28.11210636,,643.65031905
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age75_79,[75-79],82051.0,30.17290833,,1099.2149651
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age80_84,[80-84],115269.0,33.07651252,,2012.6641622
NAC,North America and the Caribbean,USA,United States of America,2012,All,Age85_over,[85+],317730.0,39.45451859,,5372.3596635
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age45_49,[45-49],10924.0,26.39476164,,99.2343494
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age_unknown,[Unknown],33.0,33.0,,
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age50_54,[50-54],19092.0,28.14808262,,171.73277761
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age55_59,[55-59],26818.0,29.231658,,266.72228271
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age60_64,[60-64],33133.0,30.33935243,,389.63342025
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age65_69,[65-69],35785.0,30.09292352,,563.10975691
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age70_74,[70-74],37908.0,30.08093953,,828.18810802
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age75_79,[75-79],44520.0,31.25877661,,1338.0588169
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age80_84,[80-84],56283.0,33.45061424,,2406.4997685
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age85_over,[85+],114163.0,38.8173531,,5657.2545098
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age_all,[All],391662.0,30.74945828,163.63256901,252.37613079
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age00,[0],272.0,2.07017277,,13.29581827
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age01_04,[1-4],119.0,4.96868476,,1.39560974
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age05_09,[5-9],48.0,3.64188164,,0.45176845
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age10_14,[10-14],96.0,5.59440559,,0.90346878
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age15_19,[15-19],255.0,3.52990033,,2.25349066
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age20_24,[20-24],562.0,3.94884767,,4.893732
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age25_29,[25-29],1002.0,6.70189285,,9.21365924
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age30_34,[30-34],1766.0,11.15462355,,17.3293865
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age35_39,[35-39],3058.0,17.60709351,,30.81211071
NAC,North America and the Caribbean,USA,United States of America,2012,Male,Age40_44,[40-44],5825.0,22.78862329,,56.68402447
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age_all,[All],395769.0,31.17373828,105.41555461,249.13994975
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age_unknown,[Unknown],11.0,23.40425532,,
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age00,[0],220.0,2.09723546,,11.25105031
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age01_04,[1-4],98.0,5.37575425,,1.20225956
NAC,North America and the Caribbean,USA,United States of America,2012,Female,Age05_09,[5-9],58.0,5.70866142,,0.57097652
