Country Code,Location,HealthExpenditurePerCapita(USD),Sex,LtrsPureAlcConsumedAvg,LtrsPureAlcConsumedLow,LtrsPureAlcConsumedAvgHigh,TobaccoUse(%),TobaccoUseLow(%),TobaccoUseHigh(%),ParentLocationCode,ParentLocation,ObesityPrevalence(%),ObesityPrevalenceLow(%),ObesityPrevalenceHigh(%),Year,Percentage of cause-specific deaths out of total deaths,Death rate per 100 000 population
SGP,Singapore,2188.34,All,1.92,0.66,3.35,16.6,12.5,20.6,WPR,Western Pacific,8.96,8.08,9.96,2014,30.72873828,144.77855521
SGP,Singapore,2188.34,Male,2.93,1.0,5.13,28.0,21.3,34.8,WPR,Western Pacific,9.29,7.93,10.79,2014,31.25892675,161.05886744
QAT,Qatar,2256.39,Female,0.28,0.059,0.64,2.4,1.7,3.0,EMR,Eastern Mediterranean,45.27,41.12,49.44,2014,17.65625,19.32638154
QAT,Qatar,2256.39,All,1.15,0.28,2.14,12.5,10.1,14.8,EMR,Eastern Mediterranean,37.62,34.26,41.22,2014,15.7227388,15.12688283
QAT,Qatar,2256.39,Male,1.39,0.33,2.59,22.6,18.5,26.6,EMR,Eastern Mediterranean,34.94,30.73,39.39,2014,15.00579374,13.81695153
MDA,Republic of Moldova,230.77,All,11.8,7.83,15.71,28.1,23.3,32.9,EUR,Europe,22.99,21.25,24.8,2014,57.85688965,642.50419737
MDA,Republic of Moldova,230.77,Male,19.12,12.63,25.52,49.6,41.2,58.0,EUR,Europe,18.87,16.15,21.72,2014,49.8252936,600.10228684
MDA,Republic of Moldova,230.77,Female,5.35,3.52,7.27,6.6,5.4,7.9,EUR,Europe,26.16,23.8,28.45,2014,66.61901737,681.812517
MLT,Malta,2456.43,Male,11.49,7.2,16.16,30.3,24.4,36.1,EUR,Europe,32.6,28.07,37.33,2014,34.86404834,270.12223382
MLT,Malta,2456.43,Female,3.3,2.05,4.7,23.4,18.5,28.3,EUR,Europe,28.32,24.25,32.57,2014,40.49535604,305.87332916
MLT,Malta,2456.43,All,7.41,4.64,10.39,26.8,21.5,32.2,EUR,Europe,30.63,27.5,33.77,2014,37.64525994,288.00643862
JAM,Jamaica,257.85,Female,1.34,0.61,2.12,4.6,2.9,6.3,AMR,Americas,40.67,37.68,43.68,2014,37.21326368,226.63598747
JAM,Jamaica,257.85,All,3.35,1.53,5.26,11.5,7.7,15.2,AMR,Americas,27.81,25.93,29.73,2014,35.50218341,226.21514995
JAM,Jamaica,257.85,Male,5.41,2.47,8.52,18.3,12.5,24.1,AMR,Americas,14.2,11.99,16.64,2014,33.91843599,225.78970421
ESP,Spain,2679.48,Male,14.53,10.17,18.96,33.1,27.5,38.6,EUR,Europe,20.64,18.76,22.66,2014,26.58170074,234.59187467
ESP,Spain,2679.48,Female,4.11,2.86,5.41,27.5,22.5,32.4,EUR,Europe,15.68,14.23,17.23,2014,32.84892849,270.21768124
ESP,Spain,2679.48,All,9.19,6.46,11.98,30.3,25.0,35.5,EUR,Europe,18.23,17.01,19.47,2014,29.65742869,252.70192459
ISR,Israel,2816.12,Female,1.29,0.65,2.06,16.2,13.2,19.3,EUR,Europe,22.42,20.25,24.75,2014,24.88413884,126.93594143
ISR,Israel,2816.12,All,3.03,1.53,4.74,23.2,18.9,27.5,EUR,Europe,22.0,20.41,23.6,2014,23.92221959,122.78977929
ISR,Israel,2816.12,Male,4.84,2.46,7.56,30.2,24.6,35.7,EUR,Europe,21.45,19.21,23.6,2014,22.95471842,118.5670878
BLZ,Belize,296.25,Male,10.06,5.78,14.46,17.7,13.1,22.4,AMR,Americas,27.12,23.77,30.67,2014,21.1028632,112.78174183
BLZ,Belize,296.25,Female,2.68,1.54,3.87,2.2,1.5,3.0,AMR,Americas,46.06,42.29,49.79,2014,26.24223602,95.52394033
BLZ,Belize,296.25,All,6.37,3.67,9.16,10.0,7.3,12.7,AMR,Americas,36.57,34.08,39.18,2014,23.1884058,104.14131524
SLV,El Salvador,312.87,Female,1.12,0.53,1.79,2.3,1.6,3.1,AMR,Americas,32.08,29.1,35.12,2014,18.31588079,88.7238207
SLV,El Salvador,312.87,All,2.78,1.33,4.43,10.5,7.6,13.5,AMR,Americas,26.42,24.24,28.74,2014,15.50141431,92.27771064
SLV,El Salvador,312.87,Male,4.72,2.26,7.52,18.7,13.6,23.8,AMR,Americas,19.27,15.86,22.78,2014,13.37239278,96.27334747
DOM,Dominican Republic,313.46,Male,10.41,6.25,14.64,16.3,12.4,20.2,AMR,Americas,18.37,16.35,20.5,2014,24.15918229,126.26862752
DOM,Dominican Republic,313.46,Female,2.74,1.66,3.88,8.7,6.5,10.8,AMR,Americas,28.88,26.55,31.33,2014,28.19462647,101.76093925
DOM,Dominican Republic,313.46,All,6.59,3.98,9.25,12.5,9.4,15.5,AMR,Americas,23.62,22.01,25.16,2014,25.79783683,114.03631396
ITA,Italy,3154.28,Male,12.45,8.55,16.49,27.9,23.4,32.3,EUR,Europe,16.87,15.19,18.59,2014,33.14906832,325.72389785
ITA,Italy,3154.28,Female,3.45,2.37,4.64,19.2,16.4,22.0,EUR,Europe,15.55,14.11,16.99,2014,40.18745751,396.62177316
